8 1000
9 9 9 23 33 45 7 7 
7 5 4 67 68 76 8 3 
8 2 2 80 99 16 4 8 
6 9 4 95 81 43 3 8 
1 3 1 87 13 95 8 8 
5 7 10 47 29 46 1 4 
1 2 4 84 90 96 8 4 
8 7 5 47 63 64 7 9 
7 1 6 21 90 71 3 3 
5 7 3 23 73 63 7 1 
8 2 2 75 80 96 7 7 
2 2 1 85 78 29 4 3 
7 8 1 66 67 51 1 7 
1 4 5 19 67 49 1 3 
3 6 4 59 79 17 7 1 
2 5 8 40 43 86 8 3 
8 7 9 88 47 26 5 5 
4 7 9 31 22 31 8 8 
4 8 6 13 77 53 9 4 
7 2 8 37 70 23 3 9 
1 6 9 84 61 29 1 6 
6 2 1 37 61 43 2 1 
7 1 3 79 43 37 4 9 
6 7 4 23 56 60 7 7 
8 5 7 24 39 11 4 8 
9 6 6 61 98 75 2 5 
5 5 5 62 23 75 5 4 
6 1 9 78 55 46 5 2 
7 1 7 25 32 95 7 8 
3 3 6 85 48 49 4 1 
4 6 5 28 76 71 5 4 
5 2 4 83 12 58 2 7 
6 5 5 73 56 74 9 7 
9 4 6 26 53 37 7 7 
8 5 8 26 50 31 1 5 
8 4 5 70 26 63 4 8 
4 1 8 22 93 87 8 1 
9 3 7 18 84 80 1 8 
6 1 5 66 12 38 6 3 
6 8 7 76 71 21 7 3 
1 1 6 89 29 65 3 8 
1 4 6 82 45 68 8 1 
9 6 9 39 87 32 5 2 
8 7 1 16 81 26 1 3 
7 2 6 40 34 38 1 9 
3 6 2 93 15 80 3 6 
4 2 7 33 58 12 3 5 
9 9 6 89 41 88 1 2 
3 3 5 83 29 58 2 2 
6 9 5 35 22 41 2 7 
1 1 4 31 36 61 4 4 
8 3 9 38 77 69 8 9 
5 8 8 37 62 39 1 1 
7 2 4 56 39 58 9 6 
1 9 5 67 66 27 3 2 
4 9 2 45 88 27 7 8 
8 8 3 61 64 17 8 1 
4 7 3 69 55 55 9 2 
5 3 4 50 95 96 5 2 
7 5 9 63 46 76 9 4 
4 9 8 18 21 19 8 8 
8 4 4 22 31 18 1 2 
7 7 1 62 93 62 6 10 
6 1 3 43 33 31 8 9 
3 2 1 67 62 69 5 4 
9 8 1 25 86 53 9 1 
6 2 4 20 45 22 6 4 
7 3 5 61 80 26 3 2 
6 6 5 18 12 40 8 9 
4 9 3 32 46 82 2 6 
6 8 7 56 84 69 5 4 
7 2 2 60 61 73 6 3 
7 2 4 14 21 14 2 8 
4 3 8 30 21 55 3 3 
3 1 5 23 98 84 9 7 
3 3 6 24 27 72 1 1 
1 2 2 31 86 87 3 4 
5 2 6 72 13 78 3 1 
8 3 7 26 15 88 6 1 
6 9 9 89 42 38 5 2 
9 2 7 98 24 67 6 9 
1 7 2 49 54 21 5 4 
4 4 6 75 94 79 1 8 
5 4 4 68 58 66 4 5 
9 7 7 33 79 17 6 6 
9 3 1 22 52 74 1 7 
6 1 6 72 54 99 7 6 
7 1 3 51 96 47 2 2 
4 8 6 26 62 83 1 5 
7 4 4 39 36 91 3 5 
6 2 3 94 98 55 9 5 
1 3 10 91 12 14 1 9 
2 5 9 37 36 42 1 9 
5 6 5 62 95 56 5 4 
7 5 4 13 82 19 9 6 
7 6 1 83 15 67 5 2 
4 7 6 70 20 76 6 9 
2 1 6 42 97 25 8 3 
9 6 1 53 99 72 2 8 
5 1 2 16 47 10 1 9 
4 6 9 38 12 82 6 3 
4 3 5 28 44 68 9 6 
3 4 7 29 34 95 1 4 
5 2 7 29 34 22 6 7 
7 7 8 33 45 99 2 2 
2 2 8 15 34 65 6 4 
9 4 5 23 34 56 6 8 
3 9 1 87 30 91 3 9 
3 9 2 43 56 11 4 3 
3 6 8 93 94 88 1 9 
5 8 2 22 67 22 7 6 
8 8 3 64 12 57 9 4 
9 5 9 36 75 61 5 2 
2 7 6 59 40 12 5 7 
9 5 8 80 22 12 4 8 
4 7 6 39 41 31 2 8 
4 1 9 27 57 30 5 2 
2 1 5 98 55 57 4 4 
3 3 6 50 99 54 8 9 
8 5 1 34 73 23 9 8 
6 9 8 92 95 13 4 2 
3 3 3 58 30 10 2 1 
1 6 2 23 24 64 5 4 
6 5 7 75 37 22 9 1 
6 9 6 21 66 21 9 9 
1 6 7 13 64 30 8 2 
3 1 2 53 83 71 5 2 
5 9 4 30 52 32 8 2 
3 6 2 30 38 18 4 1 
8 8 2 72 54 33 5 9 
1 3 6 27 20 91 8 6 
1 8 3 11 86 90 6 6 
1 8 3 18 32 87 5 5 
6 5 7 10 33 24 8 5 
8 9 5 72 65 72 1 3 
2 4 10 31 22 47 2 1 
4 4 7 51 37 66 4 7 
5 4 6 60 16 48 5 6 
6 5 9 30 23 56 4 9 
10 4 8 70 58 27 3 8 
9 2 1 23 37 75 3 5 
9 7 5 12 69 69 2 1 
3 8 5 49 57 23 6 6 
2 8 9 64 73 27 1 5 
4 7 8 46 32 91 3 2 
7 9 8 60 59 53 1 5 
8 6 9 24 13 74 5 4 
1 1 1 15 19 97 4 3 
1 4 4 83 94 38 5 4 
9 6 5 43 30 23 9 1 
2 6 3 61 26 47 2 6 
8 7 1 32 58 84 5 6 
9 7 9 40 61 96 9 6 
6 1 5 59 77 36 4 5 
4 3 9 10 38 77 9 4 
1 1 8 50 52 49 4 7 
1 5 3 46 80 54 5 3 
5 8 4 40 23 87 9 1 
3 1 6 88 65 18 8 9 
9 7 2 86 25 99 6 4 
7 3 6 59 38 18 6 2 
4 9 2 54 18 42 6 7 
4 7 1 49 93 59 9 7 
6 7 1 80 33 87 2 8 
2 5 7 55 10 56 6 1 
3 4 2 94 93 80 4 5 
1 1 6 95 13 73 4 5 
4 1 3 43 32 43 8 2 
5 1 1 95 33 45 2 6 
9 2 6 50 25 43 1 7 
4 1 5 72 96 29 6 2 
9 8 8 32 10 61 5 3 
5 5 9 14 43 92 5 6 
1 9 1 41 58 86 5 9 
5 8 1 88 86 10 1 4 
1 6 6 76 67 33 6 5 
1 2 7 54 91 36 8 9 
1 6 2 74 50 79 8 7 
7 4 8 83 85 57 4 6 
4 7 7 34 96 76 7 4 
4 8 1 20 90 71 4 3 
8 3 7 69 47 11 6 5 
3 2 5 46 48 53 8 4 
8 1 1 46 60 64 8 4 
4 4 8 18 53 52 5 6 
1 1 3 44 31 67 9 2 
4 1 6 63 88 89 8 8 
1 8 1 22 46 29 1 3 
7 6 3 97 59 89 6 7 
6 2 3 47 54 19 7 4 
9 8 2 79 84 14 9 8 
2 6 2 16 58 34 2 6 
9 6 1 92 23 78 8 5 
4 9 2 80 81 95 2 5 
3 9 7 47 18 50 4 7 
6 8 6 65 36 59 9 7 
3 7 1 63 43 84 2 2 
6 9 6 37 74 39 7 5 
2 2 2 83 86 34 8 8 
7 8 7 31 80 61 7 9 
9 9 9 83 72 87 4 9 
1 6 5 84 34 60 5 8 
1 5 3 66 82 15 8 4 
5 7 5 42 95 55 3 6 
9 9 5 48 57 14 2 7 
3 2 7 80 86 50 7 2 
4 5 6 82 92 24 6 10 
1 4 6 40 49 28 4 8 
6 4 1 35 30 42 3 5 
2 4 3 85 81 58 5 4 
9 1 2 19 26 34 8 6 
7 9 3 91 24 31 7 8 
8 8 2 48 93 76 7 2 
4 6 6 88 27 71 6 5 
10 2 7 61 82 49 3 5 
4 4 8 40 24 92 6 2 
8 2 3 95 58 44 2 9 
4 7 2 59 98 87 9 2 
2 8 4 30 82 92 1 5 
3 3 9 81 34 36 1 2 
4 9 7 13 30 58 4 6 
7 5 5 60 28 79 6 5 
9 6 3 36 78 15 8 5 
2 8 8 59 81 34 8 8 
3 8 5 64 89 89 8 5 
9 3 8 79 78 25 9 4 
3 7 7 99 84 64 5 2 
5 4 4 29 40 99 9 2 
4 8 6 87 94 91 3 3 
10 1 1 25 93 13 8 7 
7 7 1 99 50 37 1 8 
1 1 8 52 36 98 1 5 
3 7 7 46 25 94 6 1 
9 2 5 80 27 58 9 3 
8 1 1 55 61 14 5 5 
4 2 1 65 63 57 4 7 
4 5 1 73 56 89 9 9 
5 4 1 92 15 59 3 10 
2 7 9 36 64 86 3 2 
7 9 1 95 92 23 5 6 
3 5 8 75 55 34 3 5 
7 8 10 95 47 62 5 6 
7 1 6 71 37 77 7 8 
3 7 3 34 69 41 6 1 
2 5 6 39 36 43 2 6 
8 8 6 46 76 33 5 6 
5 1 8 52 37 86 5 4 
3 4 10 63 66 88 1 1 
7 2 4 81 82 26 3 6 
8 1 6 15 56 90 7 7 
5 1 8 78 51 95 5 4 
2 4 9 48 95 14 3 5 
2 1 5 79 25 80 8 5 
3 6 2 61 40 10 7 6 
5 9 7 87 66 52 2 7 
1 1 2 19 57 30 4 1 
9 1 5 26 53 42 6 4 
5 2 3 98 12 52 8 3 
5 3 8 78 41 78 7 5 
6 4 3 99 48 32 5 6 
7 3 3 66 27 52 9 2 
9 8 9 73 64 62 3 2 
6 4 3 95 87 37 6 4 
7 10 8 64 99 80 2 7 
8 7 5 32 80 96 6 2 
1 5 5 95 17 64 9 1 
2 8 2 74 45 53 9 4 
5 3 4 87 21 25 8 7 
5 10 9 73 39 99 2 3 
9 3 9 90 26 19 2 4 
4 8 1 75 61 96 9 7 
4 6 3 94 78 34 7 1 
4 6 4 36 15 21 1 4 
4 2 1 49 82 35 7 2 
8 5 2 19 38 27 2 1 
5 7 2 25 79 79 4 7 
2 4 6 42 10 19 3 1 
5 4 4 29 99 36 4 3 
7 5 1 16 64 59 5 9 
3 9 4 87 26 36 8 8 
2 6 4 43 16 29 3 7 
4 8 2 74 83 10 7 1 
9 9 6 64 49 11 8 5 
3 5 6 94 61 81 5 1 
4 3 4 90 94 70 1 4 
1 5 9 24 79 79 3 4 
7 2 5 66 23 35 6 10 
5 9 3 56 54 83 5 8 
6 4 7 15 23 50 5 5 
6 6 5 37 98 45 6 3 
1 4 7 73 76 86 6 6 
7 6 3 45 23 95 6 4 
3 8 8 28 46 33 1 5 
1 10 8 58 20 77 2 5 
4 3 9 83 44 44 2 2 
9 9 7 98 75 53 5 5 
5 6 1 23 18 89 8 10 
6 5 4 80 73 18 8 2 
8 3 9 24 10 95 5 9 
2 7 8 12 19 75 2 4 
1 1 5 95 66 82 1 9 
9 4 3 91 81 99 1 5 
8 2 2 46 35 99 5 1 
6 3 3 88 23 82 3 2 
4 5 2 95 29 46 4 4 
3 4 7 53 82 63 3 2 
7 8 5 79 20 45 1 4 
2 2 2 94 86 66 4 9 
8 1 5 78 57 65 7 2 
8 6 2 40 63 29 3 3 
2 8 6 70 68 78 8 2 
7 1 2 31 68 54 1 8 
1 4 8 91 55 91 3 10 
1 5 2 81 30 13 6 3 
5 7 2 77 69 73 5 5 
3 5 5 49 60 38 1 1 
4 6 2 84 14 28 3 7 
9 4 7 19 40 17 3 7 
9 4 2 17 65 93 3 1 
4 3 5 16 15 98 9 7 
9 7 7 30 55 48 8 6 
8 6 3 41 55 45 3 2 
3 7 1 19 24 76 5 5 
1 8 5 12 57 92 8 4 
2 5 3 61 67 58 9 7 
2 6 6 51 93 34 4 7 
1 3 6 74 88 82 4 7 
8 1 9 98 46 68 4 1 
5 9 5 22 67 49 1 5 
6 4 3 44 67 86 6 6 
7 4 4 58 90 14 9 4 
8 8 4 38 84 14 8 1 
8 4 2 80 88 50 2 4 
2 3 3 35 48 85 6 1 
7 1 7 36 48 99 5 1 
9 6 5 82 21 87 3 5 
2 7 8 92 10 84 8 1 
8 5 10 26 68 88 5 1 
4 8 4 76 30 87 1 1 
3 7 7 82 26 60 7 2 
4 6 9 32 74 78 7 2 
7 9 6 77 17 80 2 1 
4 7 6 30 25 50 9 7 
6 2 5 73 10 41 6 1 
1 8 8 76 63 28 6 5 
1 6 3 20 81 88 1 3 
5 2 1 68 15 35 3 8 
2 7 6 45 38 68 3 1 
5 5 5 84 80 97 10 5 
6 1 8 10 29 61 5 7 
1 2 4 49 33 42 4 9 
7 1 4 85 99 11 9 2 
4 2 4 71 30 75 7 3 
4 9 6 15 96 70 1 6 
4 2 2 97 58 87 4 5 
8 8 2 48 95 14 8 5 
7 8 7 31 62 24 8 9 
1 3 6 40 40 56 7 5 
4 7 3 25 30 65 9 8 
2 8 9 74 27 75 6 5 
1 9 7 17 37 54 7 8 
5 7 5 56 19 42 1 9 
7 8 8 86 87 62 9 7 
5 6 8 72 97 52 3 1 
5 2 5 24 77 47 4 3 
9 5 6 95 42 61 5 8 
10 5 9 19 69 33 3 1 
6 8 4 95 90 54 3 7 
8 6 9 64 46 28 3 4 
4 8 6 79 59 67 5 5 
1 7 8 44 13 59 8 8 
8 6 4 24 83 65 6 7 
5 2 1 74 83 79 5 3 
6 3 8 64 92 17 4 7 
3 7 2 89 92 98 3 9 
6 1 5 14 29 50 8 9 
6 3 9 28 22 29 6 9 
7 6 3 46 87 16 1 7 
2 6 9 13 16 41 1 5 
6 9 1 93 82 93 4 7 
1 1 5 13 53 43 9 9 
3 6 8 67 57 97 6 3 
6 2 8 29 55 22 6 7 
4 3 6 31 19 66 5 3 
8 4 9 56 16 70 5 8 
3 8 3 63 35 45 2 3 
2 5 9 24 23 96 9 5 
7 2 9 74 88 37 5 1 
9 5 3 92 64 35 2 6 
7 6 6 48 59 29 1 9 
9 7 5 44 21 29 5 7 
2 7 8 75 29 67 7 6 
9 4 2 50 68 44 3 4 
4 8 6 99 66 88 3 1 
1 7 1 39 83 93 1 5 
2 9 8 39 59 38 3 8 
9 4 4 45 54 52 4 5 
2 8 7 31 95 43 4 2 
3 3 9 72 85 81 1 5 
4 3 9 98 39 24 5 7 
6 6 2 84 59 76 1 2 
2 3 7 54 61 58 6 9 
8 5 3 17 25 27 4 8 
1 8 8 78 11 17 5 1 
7 3 9 23 92 29 2 8 
5 1 8 39 98 85 7 2 
6 7 6 84 19 65 3 3 
4 1 10 80 42 63 4 5 
5 8 2 66 29 65 4 1 
5 6 5 78 32 32 5 2 
9 3 7 13 55 47 4 5 
6 8 9 63 76 34 8 2 
4 9 4 13 40 83 7 6 
7 8 5 54 73 92 7 4 
1 6 3 97 14 16 1 3 
6 2 4 30 62 91 7 2 
2 4 7 77 93 34 5 6 
6 4 4 20 59 10 9 2 
6 9 3 77 96 19 5 1 
3 1 3 94 39 73 1 2 
1 4 5 89 57 95 4 4 
3 1 3 26 59 47 9 9 
8 1 6 47 31 26 3 7 
6 9 2 29 26 68 1 1 
5 8 6 79 62 69 8 7 
7 9 2 71 70 16 5 7 
7 10 3 25 17 86 5 4 
5 8 9 17 16 68 7 2 
9 1 4 68 95 72 6 7 
3 4 1 91 21 90 8 6 
7 4 2 94 73 51 1 2 
9 9 6 16 14 70 3 9 
2 8 7 72 97 22 6 7 
5 1 2 91 97 84 4 7 
8 5 2 17 37 47 5 5 
6 2 1 13 30 88 1 1 
5 8 4 37 41 84 2 2 
2 2 6 78 70 40 5 6 
1 2 4 69 49 48 5 4 
4 7 8 15 33 60 4 1 
6 5 5 97 18 17 2 8 
8 4 5 68 46 38 1 5 
5 7 8 45 54 83 5 9 
10 4 6 64 33 38 5 2 
6 3 8 66 39 34 2 1 
6 6 8 97 25 50 1 6 
5 1 9 15 81 78 5 3 
2 7 5 57 33 54 9 6 
1 7 3 16 74 28 8 10 
3 3 8 57 35 11 3 9 
4 9 9 99 65 68 9 1 
6 3 1 27 48 11 9 4 
2 5 1 88 96 73 6 8 
7 5 1 52 21 80 7 3 
6 3 8 91 13 90 8 8 
5 9 9 31 46 91 5 2 
9 1 2 32 49 44 4 3 
1 2 4 18 42 22 5 9 
6 9 9 69 75 23 7 2 
9 1 4 25 99 53 9 6 
2 6 5 38 89 70 9 1 
1 8 3 48 72 83 7 7 
4 8 4 27 18 60 1 6 
5 9 2 76 71 76 5 3 
8 1 4 72 15 87 1 5 
9 7 7 16 57 78 6 7 
3 7 4 36 51 97 8 8 
8 10 5 36 98 53 7 5 
6 7 2 16 50 15 5 7 
3 4 4 96 66 58 2 7 
6 6 4 21 50 72 4 1 
6 6 7 39 50 61 5 6 
9 5 4 41 27 84 5 8 
5 6 3 54 50 24 6 1 
3 7 6 71 13 35 8 2 
6 5 3 16 62 20 3 7 
8 7 8 37 75 44 3 9 
8 6 3 57 94 15 10 3 
2 6 4 71 47 82 1 8 
6 2 5 47 75 71 8 3 
9 4 3 10 18 88 8 7 
6 9 3 93 84 39 4 3 
6 7 3 65 25 75 8 9 
4 3 7 85 57 83 8 6 
6 5 4 62 68 20 8 7 
9 10 8 99 42 24 6 1 
3 9 2 83 72 85 6 6 
8 9 9 89 62 65 6 3 
4 4 7 25 94 44 1 6 
4 3 9 30 98 95 3 6 
1 2 3 53 26 84 3 7 
8 7 8 13 46 56 6 4 
1 6 7 82 58 46 5 1 
1 5 8 32 90 63 6 4 
3 3 9 55 71 47 1 4 
3 8 8 78 99 45 9 5 
4 9 6 46 19 59 6 5 
9 5 8 11 30 82 5 6 
2 9 4 10 33 24 6 5 
4 2 2 70 25 42 8 7 
2 1 2 57 45 62 9 2 
2 1 1 25 13 78 3 9 
7 9 4 95 61 71 4 1 
6 3 1 41 47 89 5 9 
3 1 3 61 32 42 6 3 
8 4 5 42 87 25 7 2 
2 5 2 25 85 15 6 5 
1 4 7 51 53 60 2 1 
3 7 6 50 56 89 6 7 
1 4 8 89 78 52 3 5 
1 9 1 86 72 59 9 2 
7 2 3 99 90 76 3 5 
4 6 6 39 81 39 8 5 
3 4 8 43 96 24 9 7 
8 3 7 86 60 20 6 5 
8 4 8 73 68 86 4 3 
2 4 8 69 15 47 6 5 
6 9 5 16 54 74 5 1 
3 5 8 33 29 66 5 4 
3 6 6 19 80 82 3 9 
7 3 7 83 50 30 8 1 
1 4 1 31 64 79 3 8 
5 9 7 16 29 95 9 9 
8 5 2 73 63 91 1 1 
6 5 9 93 90 19 1 8 
8 9 5 11 10 94 1 4 
4 6 1 56 18 28 7 8 
4 8 7 40 78 96 2 1 
9 6 5 39 35 36 4 7 
6 8 4 53 15 92 3 9 
1 6 7 73 40 56 4 7 
5 5 5 96 15 33 4 8 
9 2 4 64 36 13 2 6 
9 7 9 50 71 88 1 4 
6 1 3 96 41 99 6 9 
6 5 7 90 18 25 8 7 
7 7 1 84 97 53 4 3 
1 9 5 21 68 99 5 2 
6 5 1 18 53 64 7 8 
1 1 7 35 46 36 1 2 
2 4 8 55 58 23 7 6 
4 9 9 60 32 50 5 3 
3 6 1 26 10 81 9 1 
7 4 7 86 65 29 1 9 
9 5 5 36 40 55 9 9 
7 2 2 44 99 76 6 9 
8 2 7 65 74 54 2 6 
3 9 8 88 15 63 7 2 
3 9 6 30 46 97 5 10 
8 6 6 93 71 44 5 9 
9 5 6 14 71 36 2 2 
5 8 3 72 12 12 10 4 
2 4 9 88 13 81 5 5 
7 4 5 28 37 52 8 5 
4 8 5 18 40 27 9 4 
2 2 5 17 60 46 8 6 
9 3 2 87 18 98 7 2 
5 9 8 53 38 58 8 3 
7 3 5 66 89 67 6 2 
6 5 5 68 78 67 2 4 
5 9 8 38 78 76 2 2 
1 8 8 38 39 94 3 4 
4 8 6 53 24 47 2 3 
7 1 8 76 33 68 5 3 
8 2 5 37 88 83 4 5 
8 9 6 92 45 91 2 9 
9 8 9 50 15 83 5 4 
8 2 1 97 97 97 7 6 
7 9 3 44 88 87 5 5 
2 8 4 53 29 68 3 8 
2 4 7 41 98 63 3 9 
7 2 5 59 63 22 7 8 
4 1 4 41 47 28 2 9 
1 6 2 13 95 70 9 4 
2 2 1 33 36 38 5 1 
1 3 2 79 45 28 6 2 
1 5 8 56 55 82 8 1 
2 8 9 68 17 98 2 2 
5 8 2 33 98 67 8 6 
5 2 2 73 41 81 4 5 
6 9 6 11 11 65 6 3 
6 8 8 67 54 26 5 8 
7 6 5 31 38 45 2 7 
9 5 3 87 99 13 6 5 
6 2 3 44 43 41 7 6 
6 8 2 79 55 96 4 2 
8 8 3 55 80 52 7 3 
3 3 1 10 15 71 3 8 
2 5 4 93 58 57 9 3 
9 8 2 52 32 58 2 4 
8 2 4 86 47 31 9 8 
3 1 2 55 22 90 6 6 
4 10 8 67 93 74 1 4 
7 3 10 54 21 49 5 8 
3 5 7 84 52 14 9 7 
7 4 1 50 11 10 1 6 
1 3 4 33 79 57 8 5 
3 8 7 66 63 94 1 3 
5 5 7 21 50 91 8 9 
6 7 3 87 52 44 7 3 
2 5 7 92 67 26 6 1 
3 7 8 94 16 14 2 8 
3 5 4 43 79 88 2 1 
3 4 4 25 50 94 6 2 
3 7 3 37 39 79 4 5 
8 2 2 95 14 72 8 5 
6 2 9 87 56 60 3 2 
3 5 2 24 69 93 6 8 
8 7 3 60 80 68 7 4 
7 7 7 67 44 65 2 8 
1 6 4 30 77 48 1 5 
8 6 6 48 19 65 3 10 
3 3 9 49 75 63 3 8 
2 4 3 55 17 82 6 3 
8 5 1 30 49 89 8 1 
6 9 1 56 65 82 2 6 
8 2 7 12 92 88 3 8 
8 1 8 45 68 29 3 2 
2 2 6 69 44 87 9 4 
1 3 6 80 41 23 7 7 
8 1 6 28 68 73 7 2 
5 5 9 34 22 84 5 1 
5 2 5 38 12 87 1 5 
9 7 9 67 34 80 1 3 
8 8 3 12 38 85 6 5 
6 9 6 13 22 86 1 3 
7 5 6 54 49 19 6 2 
2 4 5 34 64 95 1 1 
5 8 9 28 18 81 8 6 
6 1 4 27 38 17 5 6 
6 9 3 93 27 87 1 4 
6 8 3 22 60 16 8 7 
4 3 2 72 55 39 7 1 
3 3 1 31 42 14 1 6 
7 2 6 42 73 40 4 6 
1 8 2 66 99 69 4 9 
1 4 8 47 60 24 3 4 
4 5 2 34 91 98 8 3 
6 6 9 74 63 23 4 2 
2 2 1 46 21 61 3 9 
2 4 4 15 92 15 1 7 
5 5 2 31 83 13 8 9 
5 1 1 77 15 72 8 5 
3 9 6 38 19 29 6 7 
6 6 1 82 24 38 6 2 
8 2 4 32 98 88 9 9 
2 7 9 36 96 27 4 7 
6 6 3 92 50 60 4 6 
3 2 9 14 11 53 2 9 
6 4 1 88 89 31 3 9 
1 10 5 13 27 97 8 3 
4 5 4 80 89 30 3 4 
7 5 8 20 28 31 2 8 
9 7 1 52 30 87 4 7 
8 7 4 37 65 30 3 9 
9 7 9 69 52 23 6 2 
1 4 2 41 54 21 7 4 
7 8 4 65 55 18 9 2 
9 9 3 56 74 92 4 1 
3 2 1 27 21 49 9 1 
8 1 4 23 83 68 6 7 
8 1 8 12 78 51 9 3 
7 6 8 16 18 30 3 3 
5 3 1 62 86 12 5 3 
5 5 1 85 10 95 8 8 
4 2 4 15 80 30 8 3 
3 8 5 74 88 29 7 6 
10 4 2 96 88 21 8 3 
7 5 7 85 73 12 3 8 
3 5 3 35 88 83 9 2 
3 5 7 27 21 45 9 4 
7 6 7 23 55 61 6 8 
7 7 9 28 43 54 6 4 
5 4 9 57 92 63 5 2 
7 8 6 95 11 88 7 1 
8 5 6 61 68 57 6 6 
1 4 7 51 94 91 1 5 
4 9 1 94 29 93 7 8 
1 9 4 33 11 73 2 2 
3 1 4 18 44 44 3 6 
9 5 9 93 37 41 5 7 
7 6 4 95 35 13 3 3 
7 7 3 83 19 25 8 2 
2 6 3 22 75 77 2 10 
2 4 6 96 11 19 8 6 
7 7 9 25 18 67 1 5 
8 8 7 25 32 15 1 9 
3 8 8 33 81 75 9 7 
9 6 4 20 72 94 2 9 
1 6 2 98 66 73 1 8 
8 2 7 31 91 10 4 9 
4 7 8 59 93 60 7 1 
8 5 5 96 58 99 3 1 
1 3 5 82 95 54 5 1 
8 4 3 31 11 37 5 6 
8 1 9 60 35 40 3 7 
6 2 1 55 49 68 8 9 
7 7 8 67 96 92 3 3 
3 4 9 25 54 18 9 3 
5 9 3 61 26 37 4 4 
2 5 4 70 87 33 2 2 
4 6 8 38 93 17 6 3 
5 5 7 11 30 81 8 7 
4 8 6 53 23 81 6 7 
8 7 8 98 23 88 5 1 
2 3 6 33 94 62 9 2 
6 1 6 83 19 40 7 2 
2 6 1 41 42 71 3 2 
9 10 4 61 73 99 4 9 
2 1 8 33 29 85 4 5 
1 8 5 37 46 45 3 3 
5 8 4 40 94 94 9 9 
2 3 1 98 99 39 5 4 
4 6 1 24 96 67 6 4 
4 9 4 21 40 50 8 5 
7 5 7 24 75 75 2 6 
8 10 5 93 61 64 5 8 
7 1 3 79 86 49 5 1 
3 8 7 97 27 35 4 7 
